數據集編號,數據集名稱（繁體）,數據集名稱（簡體）,數據集名稱（葡文）,數據集名稱（英文）,摘要（繁體）,摘要（簡體）,摘要（葡文）,摘要（英文）,數據分類（繁體）,數據分類（簡體）,數據分類（葡文）,數據分類（英文）,開放條件,數據格式,是否地理空間數據,提供部門/實體（繁體）,提供部門/實體（簡體）,提供部門/實體（葡文）,提供部門/實體（英文）,提供部門/實體聯絡電話,提供部門/實體聯絡電郵,目録API,更新頻率,下載次數,瀏覽次數,最後更新時間,首次發佈時間
06100e7b-a025-44c5-89f1-ff0da894fe02,公務人員數目統計,公务人员数目统计,Estatística do número de trabalhadores dos serviços públicos,,按年以季度方式提供澳門特別行政區公共行政人力資源的公務人員數目。不包括受私法制度規範的基金會及其他公共機構（包括澳門基金會、澳門貿易投資促進局、澳門金融管理局、澳門大學、澳門理工學院及民航局）的人員。,按年以季度方式提供澳门特别行政区公共行政人力资源的公务人员数目。不包括受私法制度规范的基金会及其他公共机构（包括澳门基金会、澳门贸易投资促进局、澳门金融管理局、澳门大学、澳门理工学院及民航局）的人员。,"Número de trabalhadores dos serviços públicos disponibilizados  trimestralmente por ano pelos recursos humanos da Administração Pública da RAEM. 
Não incluindo os trabalhadores das fundações e dos outros organismos públicos que se regem pelo regime de direito privado (Fundação Macau, Instituto de Promoção do Comércio e do Investimento de Macau, Autoridade Monetária de Macau, Universidade de Macau, Instituto Politécnico de Macau e Autoridade de Aviação Civil).",,行政及法律事務   ,行政及法律事务   ,Assuntos Administrativo e Jurídico   ,,完全開放,CSV,否,行政公職局,行政公职局,Direcção dos Serviços de Administração e Função Pública,,（853）88099171, dprtsp@safp.gov.mo,https://api.data.gov.mo/document/download/06100e7b-a025-44c5-89f1-ff0da894fe02?token=null&isNeedFile=0&lang=TC,每季,2340,3739,2023-07-13 14:54:28,2019-03-14 12:36:56
b4fa6540-4295-4bf6-81d3-3377dd013fa1,酒吧資料,酒吧资料,Bares,,"已領有牌照之實體 - 酒吧資料
",已领有牌照之实体 - 酒吧资料,Informações dos entidades licenciadas - Bares,,旅遊及博彩   ,旅游及博彩   ,Turismo e Jogo   ,,完全開放,XML,否,旅遊局,旅游局,Direcção dos Serviços de Turismo,,(853)28315566,webmaster@macaotourism.gov.mo,https://api.data.gov.mo/document/download/b4fa6540-4295-4bf6-81d3-3377dd013fa1?token=null&isNeedFile=0&lang=TC,每日,1460,2395,2023-09-19 07:35:03,2019-04-07 12:00:28
ac55c2f1-780a-4dc8-875f-851b2203b706,停車場資料,停车场资料,Informações dos parques de estacionamento,,停車場資料,停车场资料,Informações dos parques de estacionamento,,公共交通   ,公共交通   ,Transportes Públicos   ,,完全開放,XML,否,交通事務局,交通事务局,Direcção dos Serviços para os Assuntos de Tráfego,,88666363,info@dsat.gov.mo,https://api.data.gov.mo/document/download/ac55c2f1-780a-4dc8-875f-851b2203b706?token=null&isNeedFile=0&lang=TC,10秒,0,2160,2020-07-03 10:07:35,2019-04-09 09:51:30
070f7d9b-f734-4269-841c-0859912a5b15,實時天氣簡報,实时天气简报,Tempo Presente (Brief),,每小時整點的實況天氣，包括氣溫、濕度、風向及風速等資訊。,每小时整点的实况天气，包括气温、湿度、风向及风速等信息。,"Informações meteorológicas horárias, incluindo temperatura, humidade, direção e velocidade do vento.",,城市環境   ,城市环境   ,Ambiente Urbano   ,,完全開放,XML,否,地球物理暨氣象局,地球物理暨气象局,Direcção dos Serviços Meteorológicos e Geofísicos,,(853) 8898 6223,meteo@smg.gov.mo,https://api.data.gov.mo/document/download/070f7d9b-f734-4269-841c-0859912a5b15?token=null&isNeedFile=0&lang=TC,按需要,0,1826,2022-02-10 12:24:02,2019-07-01 14:25:37
e7b2e84d-3333-42f0-b676-64ce95306f0d,巴士路線資料,巴士路線資料,Informações das carreiras,,"BUS_POLE.SHP---巴士站資料 
ROUTE_NETWORK.SHP---巴士路線數據 
BUS_ROUTE_SEQ---巴士路線與網站關聯對照表","BUS_POLE.SHP---巴士站资料
ROUTE_NETWORK.SHP---巴士路线数据
BUS_ROUTE_SEQ---巴士路线与网站关联对照表
","BUS_POLE.SHP---巴士站資料 
ROUTE_NETWORK.SHP---巴士路線數據 
BUS_ROUTE_SEQ---巴士路線與網站關聯對照表",,公共交通   ,公共交通   ,Transportes Públicos   ,,完全開放,"SHAPEFILE,XLS",否,交通事務局,交通事务局,Direcção dos Serviços para os Assuntos de Tráfego,,88666363,info@dsat.gov.mo,https://api.data.gov.mo/document/download/e7b2e84d-3333-42f0-b676-64ce95306f0d?token=null&isNeedFile=0&lang=TC,按需要,661,1816,2023-09-18 01:00:02,2019-07-05 17:25:18
ea50a770-cc35-47cc-a3ba-7f60092d4bc4,停車場車位資訊,停车场车位资讯,Informação dos lugares nos auto-silos,,停車場車位資訊,停车场车位资讯,Informação dos lugares nos auto-silos,,公共交通   ,公共交通   ,Transportes Públicos   ,,完全開放,XML,否,交通事務局,交通事务局,Direcção dos Serviços para os Assuntos de Tráfego,,88666363,info@dsat.gov.mo,https://api.data.gov.mo/document/download/ea50a770-cc35-47cc-a3ba-7f60092d4bc4?token=null&isNeedFile=0&lang=TC,10秒,0,1470,2020-07-03 10:09:16,2020-06-08 12:20:16
3546225a-2a34-4645-b01e-6752aed03993,入境旅客,入境旅客,Visitantes,,任何到訪慣常活動地區以外地方，且逗留時間少於一年的人士；其到訪目的並非在該地參與任何有償活動。,任何到访惯常活动地区以外地方，且逗留时间少于一年的人士；其到访目的并非在该地参与任何有偿活动。,"Refere-se a qualquer pessoa que viaja para um lugar distinto do seu ambiente habitual, por um período inferior a um ano, com o objectivo de não exercer uma actividade remunerada nesse lugar.",,旅遊及博彩   ,旅游及博彩   ,Turismo e Jogo   ,,完全開放,XLSX,否,統計暨普查局,统计暨普查局,Direcção dos Serviços de Estatística e Censos,,(853) 8399 5311,info@dsec.gov.mo,https://api.data.gov.mo/document/download/3546225a-2a34-4645-b01e-6752aed03993?token=null&isNeedFile=0&lang=TC,每月,874,1094,2023-08-31 12:35:54,2019-06-12 12:40:38
da97701e-3e56-42b7-a6a7-528b95fa8277,澳門公共行政雜誌目錄,澳门公共行政杂志目录,Catálogo de  Revista de Administração Pública de Macau,,澳門公共行政雜誌由1988年至今的文章基本資料,澳门公共行政杂志由1988年至今的文章基本资料,Informações básicas sobre o artigo da Revista de Administração Pública de Macau de 1988 até o presente,,行政及法律事務   ,行政及法律事务   ,Assuntos Administrativo e Jurídico   ,,完全開放,CSV,否,行政公職局,行政公职局,Direcção dos Serviços de Administração e Função Pública,,（853）28323623,info@safp.gov.mo,https://api.data.gov.mo/document/download/da97701e-3e56-42b7-a6a7-528b95fa8277?token=null&isNeedFile=0&lang=TC,按需要,341,992,2023-09-08 14:41:25,2019-12-17 15:09:36
8b759bf6-3458-4f8c-be22-2de3638f4ed6,餐廳資料,餐厅资料,Informações dos Restaurantes,,已領有牌照之實體 - 餐廳資料,已领有牌照之实体 - 餐厅资料,Informações dos entidades licenciadas - Restaurantes,,旅遊及博彩   ,旅游及博彩   ,Turismo e Jogo   ,,完全開放,XML,否,旅遊局,旅游局,Direcção dos Serviços de Turismo,,(853)28315566,webmaster@macaotourism.gov.mo,https://api.data.gov.mo/document/download/8b759bf6-3458-4f8c-be22-2de3638f4ed6?token=null&isNeedFile=0&lang=TC,每日,503,963,2023-09-21 07:55:03,2019-04-07 12:00:20
6dafc514-7fc6-4d4e-9468-8772ba1c3b44,酒店/經濟型住宿場所/公寓式酒店資料,酒店/经济型住宿场所/公寓式酒店资料,Informações dos Hotéis/Alojamento de baixo custo/Hotéis-apartamentos,,"已領有牌照之實體 - 酒店/經濟型住宿場所/公寓式酒店資料
",已领有牌照之实体 - 酒店/经济型住宿场所/公寓式酒店资料,Informações dos entidades licenciadas - Hotéis/Alojamento de baixo custo/Hotéis-apartamentos,,旅遊及博彩   ,旅游及博彩   ,Turismo e Jogo   ,,完全開放,XML,否,旅遊局,旅游局,Direcção dos Serviços de Turismo,,(853)28315566,webmaster@macaotourism.gov.mo,https://api.data.gov.mo/document/download/6dafc514-7fc6-4d4e-9468-8772ba1c3b44?token=null&isNeedFile=0&lang=TC,每日,355,953,2023-09-12 13:45:06,2019-04-07 12:00:14
